cell_id,sample_id,id,clone_id
SA922-A90554B-R26-C36,SA922,728,0
SA922-A90554B-R26-C37,SA922,729,0
SA922-A90554B-R26-C40,SA922,730,17
SA922-A90554B-R26-C41,SA922,731,0
SA922-A90554B-R26-C43,SA922,732,0
SA922-A90554B-R26-C44,SA922,733,17
SA922-A90554B-R26-C45,SA922,734,0
SA922-A90554B-R26-C50,SA922,735,0
SA922-A90554B-R26-C51,SA922,736,17
SA922-A90554B-R26-C58,SA922,737,0
SA922-A90554B-R26-C60,SA922,738,0
SA922-A90554B-R26-C64,SA922,739,17
SA922-A90554B-R26-C66,SA922,740,0
SA922-A90554B-R27-C18,SA922,741,0
SA922-A90554B-R27-C21,SA922,742,0
SA922-A90554B-R27-C29,SA922,743,0
SA922-A90554B-R27-C40,SA922,744,0
SA922-A90554B-R27-C41,SA922,745,0
SA922-A90554B-R27-C43,SA922,746,17
SA922-A90554B-R27-C48,SA922,747,0
SA922-A90554B-R27-C57,SA922,748,0
SA922-A90554B-R27-C58,SA922,749,0
SA922-A90554B-R27-C59,SA922,750,0
SA922-A90554B-R27-C61,SA922,751,17
SA922-A90554B-R27-C66,SA922,752,0
SA922-A90554B-R27-C68,SA922,753,17
SA922-A90554B-R27-C69,SA922,754,0
SA922-A90554B-R27-C70,SA922,755,0
SA922-A90554B-R28-C07,SA922,756,0
SA922-A90554B-R28-C09,SA922,757,0
SA922-A90554B-R28-C11,SA922,758,17
SA922-A90554B-R28-C12,SA922,759,0
SA922-A90554B-R28-C18,SA922,760,0
SA922-A90554B-R28-C19,SA922,761,0
SA922-A90554B-R28-C24,SA922,762,0
SA922-A90554B-R28-C27,SA922,763,17
SA922-A90554B-R28-C35,SA922,764,17
SA922-A90554B-R28-C38,SA922,765,0
SA922-A90554B-R28-C44,SA922,766,0
SA922-A90554B-R28-C45,SA922,767,17
SA922-A90554B-R28-C50,SA922,768,17
SA922-A90554B-R28-C56,SA922,769,0
SA922-A90554B-R28-C58,SA922,770,17
SA922-A90554B-R28-C67,SA922,771,17
SA922-A90554B-R29-C16,SA922,772,0
SA922-A90554B-R29-C18,SA922,773,17
SA922-A90554B-R29-C21,SA922,774,17
SA922-A90554B-R29-C25,SA922,775,0
SA922-A90554B-R29-C26,SA922,776,0
SA922-A90554B-R29-C28,SA922,777,17
SA922-A90554B-R29-C36,SA922,778,17
SA922-A90554B-R29-C40,SA922,779,0
SA922-A90554B-R29-C42,SA922,780,17
SA922-A90554B-R29-C43,SA922,781,0
SA922-A90554B-R29-C44,SA922,782,0
SA922-A90554B-R29-C45,SA922,783,17
SA922-A90554B-R29-C49,SA922,784,17
SA922-A90554B-R29-C51,SA922,785,0
SA922-A90554B-R29-C56,SA922,786,0
SA922-A90554B-R29-C61,SA922,787,0
SA922-A90554B-R29-C64,SA922,788,0
SA922-A90554B-R29-C67,SA922,789,17
SA922-A90554B-R29-C68,SA922,790,0
SA922-A90554B-R30-C08,SA922,791,17
SA922-A90554B-R30-C12,SA922,792,0
SA922-A90554B-R30-C13,SA922,793,17
SA922-A90554B-R30-C20,SA922,794,17
SA922-A90554B-R30-C22,SA922,795,0
SA922-A90554B-R30-C24,SA922,796,0
SA922-A90554B-R30-C28,SA922,797,0
SA922-A90554B-R30-C32,SA922,798,0
SA922-A90554B-R30-C34,SA922,799,17
SA922-A90554B-R30-C37,SA922,800,17
SA922-A90554B-R30-C41,SA922,801,17
SA922-A90554B-R30-C42,SA922,802,0
SA922-A90554B-R30-C43,SA922,803,0
SA922-A90554B-R30-C44,SA922,804,17
SA922-A90554B-R30-C45,SA922,805,0
SA922-A90554B-R30-C51,SA922,806,0
SA922-A90554B-R30-C60,SA922,807,0
SA922-A90554B-R30-C64,SA922,808,0
SA922-A90554B-R30-C66,SA922,809,0
SA922-A90554B-R30-C70,SA922,810,0
SA922-A90554B-R31-C10,SA922,811,17
SA922-A90554B-R31-C18,SA922,812,17
SA922-A90554B-R31-C19,SA922,813,0
SA922-A90554B-R31-C20,SA922,814,0
SA922-A90554B-R31-C29,SA922,815,0
SA922-A90554B-R31-C30,SA922,816,0
SA922-A90554B-R31-C34,SA922,817,17
SA922-A90554B-R31-C35,SA922,818,17
SA922-A90554B-R31-C36,SA922,819,0
SA922-A90554B-R31-C43,SA922,820,0
SA922-A90554B-R31-C45,SA922,821,0
SA922-A90554B-R31-C52,SA922,822,0
SA922-A90554B-R31-C60,SA922,823,17
SA922-A90554B-R31-C66,SA922,824,17
SA922-A90554B-R31-C70,SA922,825,0
SA922-A90554B-R32-C10,SA922,826,0
SA922-A90554B-R32-C12,SA922,827,0
SA922-A90554B-R32-C13,SA922,828,17
SA922-A90554B-R32-C16,SA922,829,0
SA922-A90554B-R32-C19,SA922,830,17
SA922-A90554B-R32-C34,SA922,831,0
SA922-A90554B-R32-C35,SA922,832,0
SA922-A90554B-R32-C38,SA922,833,17
SA922-A90554B-R32-C41,SA922,834,0
SA922-A90554B-R33-C19,SA922,835,17
SA922-A90554B-R33-C27,SA922,836,0
SA922-A90554B-R33-C29,SA922,837,17
SA922-A90554B-R33-C33,SA922,838,17
SA922-A90554B-R33-C35,SA922,839,0
SA922-A90554B-R33-C37,SA922,840,0
SA922-A90554B-R33-C42,SA922,841,17
SA922-A90554B-R33-C45,SA922,842,0
SA922-A90554B-R33-C51,SA922,843,0
SA922-A90554B-R33-C52,SA922,844,17
SA922-A90554B-R33-C56,SA922,845,0
SA922-A90554B-R33-C57,SA922,846,0
SA922-A90554B-R33-C59,SA922,847,17
SA922-A90554B-R33-C60,SA922,848,17
SA922-A90554B-R33-C67,SA922,849,0
SA922-A90554B-R33-C69,SA922,850,0
SA922-A90554B-R34-C09,SA922,851,17
SA922-A90554B-R34-C14,SA922,852,17
SA922-A90554B-R34-C16,SA922,853,0
SA922-A90554B-R34-C20,SA922,854,0
SA922-A90554B-R34-C21,SA922,855,0
SA922-A90554B-R34-C22,SA922,856,17
SA922-A90554B-R34-C27,SA922,857,0
SA922-A90554B-R34-C30,SA922,858,17
SA922-A90554B-R34-C32,SA922,859,0
SA922-A90554B-R34-C35,SA922,860,17
SA922-A90554B-R34-C41,SA922,861,17
SA922-A90554B-R34-C43,SA922,862,17
SA922-A90554B-R34-C48,SA922,863,17
SA922-A90554B-R34-C58,SA922,864,0
SA922-A90554B-R34-C61,SA922,865,17
SA922-A90554B-R34-C64,SA922,866,17
SA922-A90554B-R34-C66,SA922,867,17
SA922-A90554B-R34-C67,SA922,868,17
SA922-A90554B-R34-C69,SA922,869,0
SA922-A90554B-R34-C70,SA922,870,0
SA922-A90554B-R35-C08,SA922,871,0
SA922-A90554B-R35-C09,SA922,872,0
SA922-A90554B-R35-C11,SA922,873,0
SA922-A90554B-R35-C13,SA922,874,17
SA922-A90554B-R35-C19,SA922,875,0
SA922-A90554B-R35-C21,SA922,876,0
SA922-A90554B-R35-C24,SA922,877,17
SA922-A90554B-R35-C25,SA922,878,17
SA922-A90554B-R35-C28,SA922,879,0
SA922-A90554B-R35-C29,SA922,880,0
SA922-A90554B-R35-C34,SA922,881,0
SA922-A90554B-R35-C35,SA922,882,0
SA922-A90554B-R35-C36,SA922,883,0
SA922-A90554B-R35-C37,SA922,884,17
SA922-A90554B-R35-C40,SA922,885,17
SA922-A90554B-R35-C45,SA922,886,0
SA922-A90554B-R35-C49,SA922,887,0
SA922-A90554B-R35-C56,SA922,888,17
SA922-A90554B-R35-C65,SA922,889,0
SA922-A90554B-R35-C69,SA922,890,0
